//Exported ASCII-File
[Header]
FileName = D:\User\DDBB\Lasse\20251010\LysozymeC and PEG8K standard curve remaining samples.wip
GraphName = Spectrum--062--Spec.Data 1 MQ 10mW
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 1654.325
PositionY = -1835.7
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	Spectrum--062--Spec.Data 1 MQ 10mW
rel. 1/cm	CCD cts
 1.05596E+01	 4.39800E+03
 1.33158E+01	 3.90000E+03
 1.60711E+01	 3.41200E+03
 1.88254E+01	 3.04900E+03
 2.15789E+01	 2.77300E+03
 2.43314E+01	 2.52900E+03
 2.70829E+01	 2.35100E+03
 2.98336E+01	 2.26200E+03
 3.25833E+01	 2.09600E+03
 3.53321E+01	 2.00000E+03
 3.80800E+01	 1.92200E+03
 4.08270E+01	 1.89800E+03
 4.35730E+01	 1.79100E+03
 4.63181E+01	 1.74600E+03
 4.90624E+01	 1.70500E+03
 5.18056E+01	 1.61900E+03
 5.45480E+01	 1.56900E+03
 5.72895E+01	 1.55500E+03
 6.00300E+01	 1.51600E+03
 6.27696E+01	 1.47400E+03
 6.55083E+01	 1.42200E+03
 6.82461E+01	 1.38200E+03
 7.09830E+01	 1.34400E+03
 7.37190E+01	 1.30400E+03
 7.64540E+01	 1.30000E+03
 7.91881E+01	 1.19300E+03
 8.19214E+01	 1.25100E+03
 8.46537E+01	 1.20200E+03
 8.73851E+01	 1.16200E+03
 9.01156E+01	 1.17600E+03
 9.28452E+01	 1.20100E+03
 9.55739E+01	 1.11600E+03
 9.83016E+01	 1.10600E+03
 1.01029E+02	 1.08800E+03
 1.03754E+02	 1.11400E+03
 1.06480E+02	 1.09900E+03
 1.09204E+02	 1.05900E+03
 1.11927E+02	 1.06200E+03
 1.14649E+02	 1.06600E+03
 1.17371E+02	 1.04300E+03
 1.20091E+02	 1.06500E+03
 1.22811E+02	 1.03600E+03
 1.25530E+02	 1.06000E+03
 1.28247E+02	 1.06400E+03
 1.30964E+02	 1.04900E+03
 1.33680E+02	 1.01500E+03
 1.36396E+02	 1.00900E+03
 1.39110E+02	 1.04700E+03
 1.41823E+02	 1.03600E+03
 1.44536E+02	 1.05000E+03
 1.47247E+02	 1.02300E+03
 1.49958E+02	 1.02700E+03
 1.52667E+02	 1.01500E+03
 1.55376E+02	 9.78000E+02
 1.58084E+02	 1.02200E+03
 1.60791E+02	 9.91000E+02
 1.63498E+02	 9.93000E+02
 1.66203E+02	 9.59000E+02
 1.68907E+02	 9.58000E+02
 1.71611E+02	 1.04800E+03
 1.74313E+02	 9.72000E+02
 1.77015E+02	 9.59000E+02
 1.79716E+02	 9.85000E+02
 1.82416E+02	 9.72000E+02
 1.85115E+02	 9.40000E+02
 1.87813E+02	 9.60000E+02
 1.90510E+02	 9.09000E+02
 1.93207E+02	 9.18000E+02
 1.95902E+02	 9.30000E+02
 1.98597E+02	 9.19000E+02
 2.01291E+02	 8.96000E+02
 2.03983E+02	 9.10000E+02
